89.083,267.89
208.583,267.89 
217.833,268.14
226.833,268.14
236.083,268.39
245.333,268.64
254.583,268.89
263.583,269.14
272.833,269.64
282.083,270.14 
291.333,271.14
300.334,272.14
309.584,273.39
318.834,275.14
328.084,277.14
337.084,279.64
346.334,282.64
355.584,285.89 
364.834,289.64
373.834,293.39
383.084,297.14
392.334,300.89
401.334,304.39
410.584,307.64
419.834,310.39
429.084,312.89 
438.084,314.89
447.334,317.14
456.584,319.14
465.834,321.64
474.834,324.64
484.084,328.14
493.334,332.64
502.584,337.64 
511.584,343.64
520.834,350.14
530.084,357.14
539.334,365.14

89.083,267.89
190.083,267.89
199.333,268.14
208.583,268.14
217.833,268.39
226.833,268.64
236.083,269.14
245.333,269.39 
254.583,270.14
263.583,270.89
272.833,271.89
282.083,273.14
291.333,274.89
300.334,277.14
309.584,279.89
318.834,283.64 
328.084,288.14
337.084,293.39
346.334,299.39
355.584,306.39
364.834,313.89
373.834,321.39
383.084,329.14
392.334,336.64 
401.334,343.39
410.584,349.64
419.834,355.14
429.084,359.89
438.084,364.39
447.334,368.64
456.584,373.14
465.834,378.39 
474.834,384.89
484.084,392.64
493.334,402.14
502.584,412.89
511.584,425.14
520.834,438.64
530.084,453.64
539.334,470.39

89.083,267.89
181.083,267.89
190.083,268.14
199.333,268.39
208.583,268.64
217.833,268.89
226.833,269.64
236.083,270.14 
245.333,271.14
254.583,272.14
263.583,273.39
272.833,275.39
282.083,277.89
291.333,281.14
300.334,285.14
309.584,290.64 
318.834,297.14
328.084,305.14
337.084,314.64
346.334,325.39
355.584,337.14
364.834,349.89
373.834,362.89
383.084,375.89 
392.334,388.14
401.334,399.39
410.584,409.39
419.834,418.14
429.084,426.14
438.084,433.39
447.334,440.89
456.584,449.14 
465.834,458.89
474.834,470.89
484.084,485.14
493.334,502.14
502.584,521.64
511.584,543.39
520.834,567.39
530.084,594.14 
532.084,601.14

89.083,267.89
162.583,267.89
171.833,268.14
181.083,268.39
190.083,268.89
199.333,269.39
208.583,270.39
217.833,271.39 
226.833,272.89
236.083,274.64
245.333,276.89
254.583,279.64
263.583,283.64
272.833,288.39
282.083,294.89
291.333,303.39 
300.334,313.89
309.584,326.89
318.834,342.89
328.084,361.64
337.084,383.14
346.334,407.14
355.584,432.64
364.834,459.14 
373.834,485.39
383.084,510.39
392.334,533.89
401.334,555.14
410.584,574.14
419.834,591.14
425.584,601.14

89.083,267.89 
116.583,267.89
125.833,268.14
135.083,268.39
144.333,268.89
153.583,269.89
162.583,271.14
171.833,272.89
181.083,275.39 
190.083,278.39
199.333,282.14
208.583,286.64
217.833,292.39
226.833,299.64
236.083,308.89
245.333,320.89
254.583,335.89 
263.583,354.89
272.833,378.64
282.083,407.89
291.333,443.39
300.334,485.39
309.584,534.14
318.834,589.14
320.584,601.14
